,nome,data criacao,rg,cpf,valor transacao
0,alou,2022-02-13 17:22:10.314230,217978,721295,782682
1,haha,2022-02-13 17:22:10.314230,298086,838618,82076
2,xap,2022-02-13 17:22:10.314230,696187,872536,62223
3,egrhtjer4f,2022-02-13 17:22:10.314230,668201,319015,669979
4,wegrerfgfqw,2022-02-13 17:22:10.314230,615292,742839,265208
5,egrhtjer4f,2022-02-13 17:22:10.315228,534829,675297,966725
6,werterfef,2022-02-13 17:22:10.315228,609846,818469,3966
7,werterfef,2022-02-13 17:22:10.315228,519398,73718,665863
8,toma,2022-02-13 17:22:10.315228,742713,816864,11744
9,toma,2022-02-13 17:22:10.315228,726258,718427,103745
10,rhtrg,2022-02-13 17:22:10.315228,657822,165783,710924
11,toma,2022-02-13 17:22:10.315228,92767,400723,318308
12,alou,2022-02-13 17:22:10.315228,827014,183174,150167
13,toma,2022-02-13 17:22:10.316227,132,287336,381431
14,werterfef,2022-02-13 17:22:10.316227,816720,977865,424950
15,rhtrg,2022-02-13 17:22:10.316227,8881,423869,671661
16,rhtrg,2022-02-13 17:22:10.316227,317500,108649,787003
17,toma,2022-02-13 17:22:10.316227,252905,989152,202051
18,haha,2022-02-13 17:22:10.316227,354202,140410,511048
19,haha,2022-02-13 17:22:10.316227,165007,958872,959664
20,werterfef,2022-02-13 17:22:10.317227,855373,250877,894769
21,deita,2022-02-13 17:22:10.317227,944861,289272,249811
22,toma,2022-02-13 17:22:10.317227,864562,642980,934753
23,xap,2022-02-13 17:22:10.317227,710636,716246,256013
24,werterfef,2022-02-13 17:22:10.317227,844788,309909,276124
25,xap,2022-02-13 17:22:10.317227,52610,282714,620351
26,alou,2022-02-13 17:22:10.317227,223702,819780,940315
27,xap,2022-02-13 17:22:10.318228,428748,625248,237325
28,haha,2022-02-13 17:22:10.318228,132356,347218,527303
29,toma,2022-02-13 17:22:10.318228,616376,514685,537235
30,alou,2022-02-13 17:22:10.318228,597784,633418,71294
31,xap,2022-02-13 17:22:10.318228,666551,753060,262488
32,alou,2022-02-13 17:22:10.318228,494380,966864,331246
33,rhtrg,2022-02-13 17:22:10.318228,722717,282824,160550
34,egrhtjer4f,2022-02-13 17:22:10.319228,618636,950246,862210
35,egrhtjer4f,2022-02-13 17:22:10.319228,644795,130583,506330
36,toma,2022-02-13 17:22:10.319228,367822,931702,90930
37,egrhtjer4f,2022-02-13 17:22:10.319228,797669,960085,63974
38,rhtrg,2022-02-13 17:22:10.319228,589663,335826,799962
39,wegrerfgfqw,2022-02-13 17:22:10.319228,723898,805428,298187
40,werterfef,2022-02-13 17:22:10.319228,117925,414041,792357
41,werterfef,2022-02-13 17:22:10.319228,845617,268604,81975
42,toma,2022-02-13 17:22:10.320228,747071,705223,315594
43,deita,2022-02-13 17:22:10.320228,879127,939091,904136
44,egrhtjer4f,2022-02-13 17:22:10.320228,31831,867346,646866
45,deita,2022-02-13 17:22:10.320228,595051,606005,394608
46,xap,2022-02-13 17:22:10.320228,698199,152518,552091
47,werterfef,2022-02-13 17:22:10.320228,205373,298252,152530
48,egrhtjer4f,2022-02-13 17:22:10.320228,557966,255521,95983
49,haha,2022-02-13 17:22:10.321227,683241,653098,135857
50,werterfef,2022-02-13 17:22:10.321227,505646,363800,956654
51,wegrerfgfqw,2022-02-13 17:22:10.321227,338660,215575,860629
52,deita,2022-02-13 17:22:10.321227,915563,515707,899550
53,haha,2022-02-13 17:22:10.321227,354385,992915,176854
54,werterfef,2022-02-13 17:22:10.321227,573417,892632,731975
55,haha,2022-02-13 17:22:10.321227,239565,161952,22898
56,rhtrg,2022-02-13 17:22:10.321227,773840,278984,798316
57,werterfef,2022-02-13 17:22:10.322231,261370,388055,996271
58,haha,2022-02-13 17:22:10.322231,237798,381166,475048
59,xap,2022-02-13 17:22:10.322231,276662,558640,243347
60,werterfef,2022-02-13 17:22:10.322231,821015,573309,570073
61,haha,2022-02-13 17:22:10.322231,535526,294964,828611
62,xap,2022-02-13 17:22:10.322231,937343,908321,311992
63,alou,2022-02-13 17:22:10.322231,449177,656538,566563
64,alou,2022-02-13 17:22:10.323228,26054,111328,24187
65,deita,2022-02-13 17:22:10.323228,290998,564057,694225
66,egrhtjer4f,2022-02-13 17:22:10.323228,3676,941340,417543
67,egrhtjer4f,2022-02-13 17:22:10.323228,232431,543904,659977
68,toma,2022-02-13 17:22:10.323228,620806,806833,439826
69,toma,2022-02-13 17:22:10.323228,778897,54289,690087
70,deita,2022-02-13 17:22:10.323228,48840,773661,806360
71,alou,2022-02-13 17:22:10.323228,279533,757413,653985
72,toma,2022-02-13 17:22:10.324228,59909,94650,891798
73,haha,2022-02-13 17:22:10.324228,942898,57632,407427
74,haha,2022-02-13 17:22:10.324228,354641,658236,588837
